Date,Apple,Amazon
1980-12-12,0.0,0.0
1980-12-15,-0.04782293451360475,0.0
1980-12-16,-0.06881114871406302,0.0
1980-12-17,0.024750848384316182,0.0
1980-12-18,0.028992514239448486,0.0
1980-12-19,0.06102896940818692,0.0
1980-12-22,0.048669580776365295,0.0
1980-12-23,0.0421986249874835,0.0
1980-12-24,0.05262882172264227,0.0
1980-12-26,0.09230820783317184,0.0
1980-12-29,0.014084004232147507,0.0
1980-12-30,-0.020832166540151076,0.0
1980-12-31,-0.024909579358753264,0.0
1981-01-02,0.010988777883057743,0.0
1981-01-05,-0.018115359587067448,0.0
1981-01-06,-0.040744442551035154,0.0
1981-01-07,-0.0387575972458154,0.0
1981-01-08,-0.01619342435835336,0.0
1981-01-09,0.053715486289525494,0.0
1981-01-12,4.1035806774836203e-07,0.0
1981-01-13,-0.0316183158974046,0.0
1981-01-14,0.004098058744593569,0.0
1981-01-15,0.020406595867633603,0.0
1981-01-16,-0.003999656049193057,0.0
1981-01-19,0.06048018430261215,0.0
1981-01-20,-0.026614997490072345,0.0
1981-01-21,0.019607276277565866,0.0
1981-01-22,0.0115377906944083,0.0
1981-01-23,-7.976505527196309e-07,0.0
1981-01-26,-0.011449151699746918,0.0
1981-01-27,-2.6250184614884375e-07,0.0
1981-01-28,-0.027341711341192232,0.0
1981-01-29,-0.03225601831001634,0.0
1981-01-30,-0.046029453888959626,0.0
1981-02-02,-0.053094196589511866,0.0
1981-02-03,0.037556133719408136,0.0
1981-02-04,0.0361971912246728,0.0
1981-02-05,2.220446049250313e-16,0.0
1981-02-06,0.004366055928108681,0.0
1981-02-09,-0.043475407342063455,0.0
1981-02-10,0.0,0.0
1981-02-11,-0.027521004526126824,0.0
1981-02-12,-0.004739066981380491,0.0
1981-02-13,-0.014353361773611573,0.0
1981-02-17,0.02450846027038156,0.0
1981-02-18,0.043068102390670715,0.0
1981-02-19,-0.05505038568606213,0.0
1981-02-20,-0.048777417928855815,0.0
1981-02-23,0.015462628121512889,0.0
1981-02-24,-0.025378754653935576,0.0
1981-02-25,0.06315344305061155,0.0
1981-02-26,0.01485071319918485,0.0
1981-02-27,0.03415289129247934,0.0
1981-03-02,0.004716628610382356,0.0
1981-03-03,-0.009388664170583372,0.0
1981-03-04,-0.004770050048059193,0.0
1981-03-05,-5.120566688443517e-07,0.0
1981-03-06,2.3697724405025156e-07,0.0
1981-03-09,-0.0731663949275917,0.0
1981-03-10,-0.042334475215531464,0.0
1981-03-11,-0.027776599202867125,0.0
1981-03-12,0.0404604290763686,0.0
1981-03-13,-0.005555465793406489,0.0
1981-03-16,0.039333708039375415,0.0
1981-03-17,0.04864527158010201,0.0
1981-03-18,0.061851486844653136,0.0
1981-03-19,-0.0048541198841942634,0.0
1981-03-20,0.009803333566386963,0.0
1981-03-23,0.03884115358104334,0.0
1981-03-24,8.254705141652607e-08,0.0
1981-03-25,-0.009388831955500665,0.0
1981-03-26,-0.014353198942764656,0.0
1981-03-27,-0.0292662863311427,0.0
1981-03-30,2.220446049250313e-16,0.0
1981-03-31,-1.8579040395039215e-07,0.0
1981-04-01,-0.005101693156838505,0.0
1981-04-02,0.08763248398198753,0.0
1981-04-03,0.004738816967745141,0.0
1981-04-06,-0.01415806814855669,0.0
1981-04-07,-0.004807859430212114,0.0
1981-04-08,0.04854964847862586,0.0
1981-04-09,0.01851739294735366,0.0
1981-04-10,0.01363545223830731,0.0
1981-04-13,0.0,0.0
1981-04-14,0.0,0.0
1981-04-15,-0.04484038980830529,0.0
1981-04-16,-0.051891584368203736,0.0
1981-04-20,0.029997899234573966,0.0
1981-04-21,0.06796605434431413,0.0
1981-04-22,0.036361153895693166,0.0
1981-04-23,0.02631416903633621,0.0
1981-04-24,-2.152653798548343e-07,0.0
1981-04-27,-0.0043102101499158385,0.0
1981-04-28,-0.013042363089562192,0.0
1981-04-29,-0.008848928302334746,0.0
1981-04-30,0.017936088381073745,0.0
1981-05-01,0.0,0.0
1981-05-04,-8.92101384986077e-08,0.0
1981-05-05,2.0439523851223385e-08,0.0
1981-05-06,-0.022221404951180523,0.0
1981-05-07,0.013698267901790295,0.0
1981-05-08,0.009008128951046634,0.0
1981-05-11,-0.017856256973313167,0.0
1981-05-12,0.0,0.0
1981-05-13,3.7749719061785925e-07,0.0
1981-05-14,-0.004586515569164451,0.0
1981-05-15,0.02325416896354171,0.0
1981-05-18,0.018180264509089605,0.0
1981-05-19,-0.013391612283481402,0.0
1981-05-20,0.03181610729584339,0.0
1981-05-21,0.05727263058168419,0.0
1981-05-22,0.04583050302808944,0.0
1981-05-26,-5.043086837019928e-08,0.0
1981-05-27,0.055996389954974024,0.0
1981-05-28,0.0,0.0
1981-05-29,0.003787749837319554,0.0
1981-06-01,0.0,0.0
1981-06-02,-0.045280522808966994,0.0
1981-06-03,0.0,0.0
1981-06-04,0.019839654091114545,0.0
1981-06-05,-0.011671920921080825,0.0
1981-06-08,-0.0316183158974046,0.0
1981-06-09,0.02048980073612805,0.0
1981-06-10,0.012047604916460175,0.0
1981-06-11,0.04364850735485293,0.0
1981-06-12,-0.007604114682064567,0.0
1981-06-15,-2.7636868560332317e-07,0.0
1981-06-16,-0.015443019827132698,0.0
1981-06-17,-0.011810305289344125,0.0
1981-06-18,-3.576711784525344e-07,0.0
1981-06-19,-0.024094986491575265,0.0
1981-06-22,-0.03306264563243799,0.0
1981-06-23,0.01716634691526364,0.0
1981-06-24,-0.016876736075270737,0.0
1981-06-25,0.02164352256521984,0.0
1981-06-26,-0.00423677607530526,0.0
